"subject","age","setsize","mean_answer_correct","mean_response_time","kPashler","k","test"
110,"young",6,0.815384615384615,676.846153846154,4.49158249158249,3.78977272727273,"color"
110,"young",8,0.681818181818182,683.712121212121,5.05263157894737,2.90909090909091,"color"
111,"young",2,1,833.984615384615,2,2,"color"
111,"young",4,0.9375,1069.703125,4,3.5,"color"
111,"young",6,0.738461538461539,1141.67692307692,6,2.8125,"color"
111,"young",8,0.621212121212121,1195.33333333333,7.11111111111111,1.93939393939394,"color"
112,"young",2,1,957.307692307692,2,2,"color"
112,"young",4,0.863636363636364,1073.71212121212,3.68518518518519,2.92647058823529,"color"
112,"young",6,0.753846153846154,1090.6,4.83636363636364,3.02272727272727,"color"
112,"young",8,0.6875,1291.578125,6,3,"color"
113,"young",2,0.939393939393939,489,1.93509127789047,1.75367647058824,"color"
113,"young",4,0.830769230769231,622.230769230769,3.37939393939394,2.64015151515152,"color"
113,"young",6,0.78125,694.859375,5.14285714285714,3.375,"color"
113,"young",8,0.630769230769231,772.923076923077,5.46153846153846,2.15151515151515,"color"
114,"young",2,0.969230769230769,922.276923076923,2,1.875,"color"
114,"young",4,0.859375,1114.1875,3.53846153846154,2.875,"color"
114,"young",6,0.560606060606061,1280.13636363636,2.52272727272727,0.816176470588235,"color"
114,"young",8,0.676923076923077,1400.36923076923,5.9375,2.87878787878788,"color"
115,"young",2,0.984615384615385,869.615384615385,1.9375,1.9375,"color"
115,"young",4,0.921875,942.1875,3.85714285714286,3.375,"color"
115,"young",6,0.671875,972.390625,3.47368421052632,2.0625,"color"
115,"young",8,0.641791044776119,978.313432835821,4.11764705882353,2.24598930481283,"color"
116,"young",2,0.984375,464.109375,2,1.9375,"color"
116,"young",4,0.895522388059702,609.970149253731,3.72910052910053,3.14642857142857,"color"
116,"young",6,0.815384615384615,603.830769230769,5.46195652173913,3.80681818181818,"color"
116,"young",8,0.59375,605.875,6.85714285714286,1.5,"color"
117,"young",2,0.953846153846154,745.584615384615,2,1.8125,"color"
117,"young",4,0.784615384615385,943.292307692308,3.79585326953748,2.25378787878788,"color"
117,"young",6,0.757575757575758,1023.63636363636,5.10835913312694,3.03308823529412,"color"
117,"young",8,0.609375,927.078125,5.09090909090909,1.75,"color"
118,"young",2,0.984615384615385,674.6,2,1.9375,"color"
118,"young",4,0.815384615384615,927.630769230769,3.64738292011019,2.50757575757576,"color"
118,"young",6,0.59375,792.65625,4.5,1.125,"color"
118,"young",8,0.560606060606061,845.984848484848,4.23529411764706,0.794117647058823,"color"
119,"young",2,0.984848484848485,550.19696969697,2,1.94117647058824,"color"
119,"young",4,0.876923076923077,649.015384615385,3.84134615384615,3.02651515151515,"color"
119,"young",6,0.828125,842.359375,5.04,3.9375,"color"
119,"young",8,0.6,818.953846153846,3.34545454545455,1.56818181818182,"color"
120,"young",2,0.984615384615385,563.738461538462,1.93939393939394,1.93939393939394,"color"
120,"young",4,0.787878787878788,646.121212121212,4,2.35294117647059,"color"
120,"young",6,0.75,659.59375,5.64705882352941,3,"color"
120,"young",8,0.6,626.769230769231,6.06060606060606,1.51515151515152,"color"
201,"old",2,0.90625,932.59375,1.85714285714286,1.625,"color"
201,"old",4,0.625,1056.03125,2.46153846153846,1,"color"
201,"old",6,0.651515151515151,1118.22727272727,4.28571428571429,1.81818181818182,"color"
201,"old",8,0.515151515151515,1218.9696969697,0.999999999999999,0.242424242424242,"color"
202,"old",2,0.96875,912.34375,1.93548387096774,1.875,"color"
202,"old",4,0.848484848484849,1083.45454545455,3.83333333333333,2.78787878787879,"color"
202,"old",6,0.59375,1180.703125,3.6,1.125,"color"
202,"old",8,0.651515151515151,1279.87878787879,7.27272727272727,2.42424242424242,"color"
203,"old",2,0.907692307692308,1081.29230769231,1.85775862068966,1.63257575757576,"color"
203,"old",4,0.71875,1354.078125,3.73333333333333,1.75,"color"
203,"old",6,0.59375,1449.21875,5.14285714285714,1.125,"color"
