subject;age;condition;totalCases;correct_answer;mean_answer_correct;mean_response_time;median_response_time;falseAlarm;correct_rejection;miss;hit;noChangeTotal;changeTotal;falseAlarmRate;hitRate;kPashler;k;joinKey
203;old;2;65;59;0,9076923;1081,2923; 964,0; 4;29; 2;30;33;32;0,12121212;0,9375000;1,857759;1,6325758;2032
203;old;4;64;46;0,7187500;1354,0781;1231,0;17;15; 1;31;32;32;0,53125000;0,9687500;3,733333;1,7500000;2034
203;old;6;64;38;0,5937500;1449,2188;1406,5;25; 7; 1;31;32;32;0,78125000;0,9687500;5,142857;1,1250000;2036
203;old;8;67;35;0,5223881;1455,4925;1348,0;31; 3; 1;32;34;33;0,91176471;0,9696970;5,252525;0,4634581;2038
204;old;2;64;59;0,9218750; 605,4844; 578,5; 3;29; 2;30;32;32;0,09375000;0,9375000;1,862069;1,6875000;2042
204;old;4;66;42;0,6363636; 798,5758; 710,5;17;17; 7;25;34;32;0,50000000;0,7812500;2,250000;1,1250000;2044
204;old;6;64;41;0,6406250; 761,1094; 699,0;23; 9; 0;32;32;32;0,71875000;1,0000000;6,000000;1,6875000;2046
204;old;8;66;38;0,5757576; 802,0758; 744,0;24;10; 4;28;34;32;0,70588235;0,8750000;4,600000;1,3529412;2048
205;old;2;65;65;1,0000000;1156,1077;1041,0; 0;33; 0;32;33;32;0,00000000;1,0000000;2,000000;2,0000000;2052
205;old;4;65;54;0,8307692;2376,4462;1941,0; 3;29; 8;25;32;33;0,09375000;0,7575758;2,929990;2,6553030;2054
205;old;6;64;46;0,7187500;2870,0156;2267,5; 9;23; 9;23;32;32;0,28125000;0,7187500;3,652174;2,6250000;2056
205;old;8;66;40;0,6060606;3554,0758;2571,5;12;20;14;20;32;34;0,37500000;0,5882353;2,729412;1,7058824;2058
206;old;2;64;59;0,9218750;1141,2812;1027,0; 2;30; 3;29;32;32;0,06250000;0,9062500;1,800000;1,6875000;2062
206;old;4;64;46;0,7187500;1380,1875;1246,0;16;16; 2;30;32;32;0,50000000;0,9375000;3,500000;1,7500000;2064
206;old;6;64;47;0,7343750;1430,1250;1347,0;16;16; 1;31;32;32;0,50000000;0,9687500;5,625000;2,8125000;2066
206;old;8;68;43;0,6323529;1429,6912;1419,0;24; 8; 1;35;32;36;0,75000000;0,9722222;7,111111;1,7777778;2068
207;old;2;64;59;0,9218750;1179,2969;1037,5; 3;29; 2;30;32;32;0,09375000;0,9375000;1,862069;1,6875000;2072
207;old;4;64;48;0,7500000;1381,1719;1207,0;12;20; 4;28;32;32;0,37500000;0,8750000;3,200000;2,0000000;2074
207;old;6;66;43;0,6515152;1442,4091;1289,0;23;11; 0;32;34;32;0,67647059;1,0000000;6,000000;1,9411765;2076
207;old;8;66;33;0,5000000;1412,4545;1250,5;29; 4; 4;29;33;33;0,87878788;0,8787879;0,000000;0,0000000;2078
208;old;2;67;67;1,0000000;1043,2836; 982,0; 0;33; 0;34;33;34;0,00000000;1,0000000;2,000000;2,0000000;2082
208;old;4;65;49;0,7538462;1337,8769;1313,0;10;23; 6;26;33;32;0,30303030;0,8125000;2,923913;2,0378788;2084
208;old;6;64;52;0,8125000;1270,5469;1245,5; 7;25; 5;27;32;32;0,21875000;0,8437500;4,800000;3,7500000;2086
208;old;8;64;36;0,5625000;1331,0781;1226,0;18;14;10;22;32;32;0,56250000;0,6875000;2,285714;1,0000000;2088
209;old;2;65;60;0,9230769;1553,2615;1121,0; 5;28; 0;32;33;32;0,15151515;1,0000000;2,000000;1,6969697;2092
