"subject","age","setsize","totalCases","mean_answer_correct","mean_response_time","median_response_time","sum_answer_correct","sum_of_changes","sum_of_noChanges","falseAlarm","correct_rejections","miss","hit","totalOfChange","totalOfHit","falseAlarmRate","hitRate","k","kPashler","joinKey"
119,"young",4,192,0.890625,847.578125,676.5,171,96,96,4,92,17,79,96,96,0.0416666666666667,0.822916666666667,3.125,3.26086956521739,"1194"
119,"young",6,192,0.755208333333333,1061.125,857,145,96,96,18,78,29,67,96,96,0.1875,0.697916666666667,3.0625,3.76923076923077,"1196"
120,"young",2,192,0.927083333333333,785.588541666667,652.5,178,96,96,1,95,13,83,96,96,0.0104166666666667,0.864583333333333,1.70833333333333,1.72631578947368,"1202"
120,"young",4,192,0.828125,914.114583333333,777.5,159,96,96,18,78,15,81,96,96,0.1875,0.84375,2.625,3.23076923076923,"1204"
120,"young",6,192,0.671875,764.401041666667,677,129,96,96,48,48,15,81,96,96,0.5,0.84375,2.0625,4.125,"1206"
201,"old",2,192,0.911458333333333,785.625,706,175,96,96,0,96,17,79,96,96,0,0.822916666666667,1.64583333333333,1.64583333333333,"2012"
201,"old",4,192,0.739583333333333,953.317708333333,785,142,96,96,29,67,21,75,96,96,0.302083333333333,0.78125,1.91666666666667,2.74626865671642,"2014"
201,"old",6,192,0.661458333333333,936.114583333333,801.5,127,96,96,54,42,11,85,96,96,0.5625,0.885416666666667,1.9375,4.42857142857143,"2016"
202,"old",2,192,0.932291666666667,879.635416666667,810.5,179,96,96,1,95,12,84,96,96,0.0104166666666667,0.875,1.72916666666667,1.74736842105263,"2022"
202,"old",4,192,0.791666666666667,992.848958333333,912.5,152,96,96,15,81,25,71,96,96,0.15625,0.739583333333333,2.33333333333333,2.76543209876543,"2024"
202,"old",6,192,0.770833333333333,1040.234375,974.5,148,96,96,22,74,22,74,96,96,0.229166666666667,0.770833333333333,3.25,4.21621621621622,"2026"
203,"old",2,192,0.90625,1259.52083333333,1151.5,174,96,96,4,92,14,82,96,96,0.0416666666666667,0.854166666666667,1.625,1.69565217391304,"2032"
203,"old",4,192,0.817708333333333,1504.79166666667,1441,157,96,96,13,83,22,74,96,96,0.135416666666667,0.770833333333333,2.54166666666667,2.93975903614458,"2034"
203,"old",6,192,0.708333333333333,1627.29166666667,1501.5,136,96,96,30,66,26,70,96,96,0.3125,0.729166666666667,2.5,3.63636363636364,"2036"
204,"old",2,192,0.901041666666667,779.994791666667,692.5,173,96,96,10,86,9,87,96,96,0.104166666666667,0.90625,1.60416666666667,1.7906976744186,"2042"
204,"old",4,192,0.817708333333333,841.635416666667,746.5,157,96,96,23,73,12,84,96,96,0.239583333333333,0.875,2.54166666666667,3.34246575342466,"2044"
204,"old",6,192,0.71875,786.484375,700.5,138,96,96,40,56,14,82,96,96,0.416666666666667,0.854166666666667,2.625,4.5,"2046"
